"","A_09_195_S6_R1_001","A_10_313_S9_R1_001","A_11_062_S8_R1_001","A_12_011_S10_R1_001","A_13_027_S12_R1_001","A_13_086_S11_R1_001","A_14_022_S5_R1_001","A_14_076_S7_R1_001"
"tRF-21-8NRS9NS3D",10,4,6,10,2,0,6,5
"tRF-21-8NWE6WRND",1,3,1,0,0,1,2,1
"tRF-21-8O90Q4R90",0,0,0,0,1,0,1,0
"tRF-21-8OYDVNZDB",0,0,1,0,0,0,0,0
"tRF-21-8P1N3KYU0",0,0,0,0,0,0,1,0
"tRF-21-8PHPD3XW0",0,0,0,0,0,0,1,0
"tRF-21-8PLML38BE",0,0,0,1,0,1,0,0
"tRF-21-8RQFR9O1D",3,0,1,0,1,1,2,1
"tRF-21-8RQFR9OMD",4,13,5,10,7,2,6,5
"tRF-21-8URUZ9HN0",0,0,0,0,0,0,0,1
"tRF-21-8V7KYU0RB",0,0,0,0,0,2,0,0
"tRF-21-8W1W188MB",1,0,0,0,0,0,0,0
"tRF-21-8XF6RE980",3,0,1,1,1,0,0,0
"tRF-21-8ZS3HB4EB",0,0,0,0,0,0,0,1
"tRF-21-90YBOZZ7D",0,1,0,0,0,0,2,0
"tRF-21-91PJB7MND",2,3,0,2,0,1,3,3
"tRF-21-93W0K6MY0",2,0,0,0,0,0,0,0
"tRF-21-93WB86Q30",2,1,0,0,0,0,0,0
"tRF-21-941QKS3WD",0,0,0,5,0,0,1,0
"tRF-21-945NB2NZE",0,0,1,0,1,0,3,1
"tRF-21-947SHR060",0,0,0,0,0,1,0,0
"tRF-21-94V4SMIFB",0,0,0,0,0,0,0,1
"tRF-21-96L85DMKE",0,0,0,1,0,0,0,0
"tRF-21-98YKISQID",0,0,0,0,0,0,1,0
"tRF-21-99BMEMR3D",1,1,0,0,0,0,1,0
"tRF-21-99DMEMR3D",2,0,0,0,0,0,1,0
"tRF-21-99OMEMR3D",2,0,0,0,1,0,2,0
"tRF-21-9D148V7KE",0,0,3,4,2,6,1,3
"tRF-21-9DH48V7KE",15,11,3,2,6,17,7,1
"tRF-21-9DXXH6Z4D",0,0,0,0,1,0,0,0
"tRF-21-9E8L8V7KE",0,0,0,0,1,0,0,0
"tRF-21-9EDJSYIR0",1,0,0,0,0,0,0,0
"tRF-21-9ELBKM4YD",0,0,0,0,0,0,0,1
"tRF-21-9HSX73V2E",0,0,0,0,1,0,0,0
"tRF-21-9I1EW3QZD",0,1,0,0,0,0,1,0
"tRF-21-9J94KV7KE",4,1,5,10,1,0,7,0
"tRF-21-9KIWRNL3D",0,0,0,0,0,0,1,0
"tRF-21-9KR959NRE",0,0,0,0,0,0,1,0
"tRF-21-9KZR3FJ3E",0,0,0,0,0,2,0,0
"tRF-21-9KZYJMN5D",0,0,0,0,0,0,3,0
"tRF-21-9L5HMVYVB",0,0,1,1,0,0,0,0
"tRF-21-9M739P8W0",21,10,47,31,17,11,58,33
"tRF-21-9MVH7P59D",23,2,10,5,20,5,14,4
"tRF-21-9N15WV7W0",27,11,7,14,4,3,19,3
"tRF-21-9N1EWJQ7D",61,28,35,41,57,39,117,23
"tRF-21-9N1QKS3WD",1,0,1,1,0,1,1,0
"tRF-21-9N2E3KXRD",1,4,0,0,0,0,0,0
"tRF-21-9NDJ58EPB",1,0,0,0,0,0,0,0
"tRF-21-9NF5W8EZ0",2,0,2,0,0,0,0,0
"tRF-21-9NH5HYNXD",0,0,0,0,1,0,0,0
"tRF-21-9NH5SYNXD",13,7,3,7,6,6,11,4
"tRF-21-9NLN3JWB0",0,0,2,1,0,0,1,1
"tRF-21-9NS334L2B",8,4,8,12,15,4,17,12
"tRF-21-9NY5KKM1D",0,0,0,1,0,0,0,0
"tRF-21-9O08F4BDD",0,1,1,2,3,2,13,0
"tRF-21-9O0PRMQ0E",0,0,1,2,2,0,2,0
"tRF-21-9P8WQ0D5D",5,2,11,1,4,4,11,15
"tRF-21-9P9MH57SD",0,1,0,0,0,0,0,0
"tRF-21-9PMNH5ISD",0,1,0,0,0,0,0,0
"tRF-21-9PW4PU73E",0,0,0,0,0,0,1,0
"tRF-21-9RQ4R9O1D",1,0,1,0,2,2,0,7
"tRF-21-9VZVEH93E",0,2,1,0,0,0,0,0
"tRF-21-B0845JJ80",0,0,0,0,1,0,1,0
"tRF-21-B11KWH190",0,1,0,0,0,0,0,0
"tRF-21-B11KWH19B",2,0,0,0,0,0,3,2
"tRF-21-B162XB0ZE",0,1,1,4,3,0,2,0
"tRF-21-B2JK7PP9E",25,16,12,48,12,0,49,15
"tRF-21-B2Z3R951D",0,0,0,0,0,0,0,1
"tRF-21-B3J811IK0",0,0,1,1,1,0,0,1
"tRF-21-B4ZPEK45B",60,29,23,27,40,62,52,44
"tRF-21-B54ZUPX1B",1,1,3,1,0,0,1,2
"tRF-21-B6R3LU7SB",0,0,2,0,0,0,0,0
"tRF-21-B7Z92K01B",0,0,0,1,0,0,1,0
"tRF-21-B8VHM7O9D",1,0,0,1,0,0,0,0
"tRF-21-BBSQ6KK40",0,0,0,1,0,0,1,0
"tRF-21-BDYBEZ03D",0,0,3,1,0,0,0,0
"tRF-21-BDZ51653E",0,0,0,3,0,0,0,0
"tRF-21-BE7XO8Q6D",193,60,66,142,117,131,150,128
"tRF-21-BF628YR90",0,1,0,5,1,2,0,1
"tRF-21-BJ8FFDXXB",0,0,0,0,0,0,1,0
"tRF-21-BLHKFZB1D",0,0,1,0,0,0,1,0
"tRF-21-BLJD22PZD",5,5,7,20,2,14,10,7
"tRF-21-BMU00KRX0",0,0,0,0,0,0,1,0
"tRF-21-BOJ8N981B",3,4,0,1,0,1,2,2
"tRF-21-BP4MJYSZB",0,0,0,0,0,0,2,0
"tRF-21-BP5E387SB",0,1,0,1,0,0,0,1
"tRF-21-BRFKWE6M0",0,0,0,0,1,0,1,1
"tRF-21-BRFKWE6ME",0,0,0,0,0,0,1,0
"tRF-21-BS5EOB3ZE",0,0,0,4,0,0,7,0
"tRF-21-BSBKZ3R90",3,1,1,1,1,1,0,2
"tRF-21-BSDE287SB",0,0,0,2,0,0,0,2
"tRF-21-BSDEL87SB",0,0,1,5,4,1,3,0
"tRF-21-BV2KWHR90",0,0,0,0,0,0,2,0
"tRF-21-BX1WZ4RZB",1,0,0,1,0,0,1,2
"tRF-21-BZBDZ5160",0,0,0,0,1,0,0,0
"tRF-21-BZUP82R9B",0,0,0,1,0,0,0,0
"tRF-21-D112Z4R90",14,13,3,17,10,8,9,5
"tRF-21-D3387SFRD",0,1,0,2,0,0,0,0
"tRF-21-D33U7SB7D",1,0,0,0,1,1,0,0
"tRF-21-D3947SFRB",0,0,0,0,0,1,0,0
"tRF-21-D4ZWRNU3D",0,0,0,0,0,0,2,0
"tRF-21-D5F1D039B",2,0,2,4,0,1,2,1
"tRF-21-D7B2JK7P0",0,0,0,1,0,0,0,0
"tRF-21-D7OK8Y190",1,1,1,2,1,1,2,0
"tRF-21-D7OKW4190",6,1,2,8,2,1,6,9
"tRF-21-D81H93WBE",0,1,0,0,0,2,0,0
"tRF-21-D890YBOZE",24,8,10,10,6,22,20,11
"tRF-21-D8E0LV9DE",0,1,0,0,0,0,0,0
"tRF-21-D8H0PMF7D",0,0,0,0,0,0,1,0
"tRF-21-D8H0QMXND",0,0,0,0,0,0,1,0
"tRF-21-D8XJEZ6ID",0,0,0,2,0,0,0,0
"tRF-21-D9BKYSR90",0,1,0,0,1,1,0,1
"tRF-21-D9W1X6L80",0,1,0,0,0,0,0,0
"tRF-21-DD1KYK37E",1,0,0,0,1,0,1,3
"tRF-21-DE6PFRROE",0,0,0,0,0,0,0,1
"tRF-21-DF4YO9XED",1,0,0,0,4,1,1,0
"tRF-21-DF7UK87SB",0,0,0,0,0,0,0,1
"tRF-21-DFVIPZK0D",0,0,1,0,0,1,1,0
"tRF-21-DHXY6RHDD",0,1,0,0,0,1,1,0
"tRF-21-DI2OOIQOD",3,0,1,5,1,2,6,5
"tRF-21-DMI2669KE",0,0,3,2,0,0,6,2
"tRF-21-DOV2QXBRD",1,0,0,0,0,0,0,0
"tRF-21-DP5IUDK7E",0,0,0,2,0,0,0,0
"tRF-21-DRD8RZKSD",0,0,0,1,0,0,0,0
"tRF-21-DRFO8U7SB",1,3,2,2,1,0,1,1
"tRF-21-DRFU8U76B",17,25,26,45,49,44,32,26
"tRF-21-DRFU8U7SB",0,3,2,4,4,5,3,0
"tRF-21-DRI8R7KSD",0,1,0,0,0,0,0,0
"tRF-21-DRI8RZKSD",0,1,0,0,0,1,0,0
"tRF-21-DSJOBZBDE",1,0,0,2,0,0,2,0
"tRF-21-DSQPLWZJE",0,0,0,0,0,0,0,2
"tRF-21-DWY2MJ8FE",67,23,23,17,36,44,49,46
"tRF-21-E0P7RN2MD",0,1,0,0,0,0,0,0
"tRF-21-E0PRRN2MD",0,0,1,0,0,0,0,0
"tRF-21-E6199M8OE",1,0,0,0,0,2,5,0
"tRF-21-E7OMJHHSB",2,0,0,0,1,0,0,0
"tRF-21-E96MF0IU0",1,0,0,0,0,0,2,0
"tRF-21-EH623K7SB",0,3,0,0,0,0,0,0
"tRF-21-EHBK8RR90",0,0,2,2,0,0,0,0
"tRF-21-ELXKKSR9B",1,0,0,0,0,0,0,0
"tRF-21-EUB4ZPEKD",0,0,0,10,1,1,2,3
"tRF-21-EVUMJYX9E",0,0,0,0,0,1,0,0
"tRF-21-EXEY0VWUD",131,21,42,89,83,27,189,38
"tRF-21-EXU4307W0",0,0,0,0,1,0,0,0
"tRF-21-EZOMJHHSB",0,3,3,2,0,1,2,0
"tRF-21-EZU05OJIB",0,0,0,0,0,0,0,2
"tRF-21-F0I71NLID",0,0,0,0,0,1,0,0
"tRF-21-F0IURNL3D",3,6,0,1,2,0,1,0
"tRF-21-F0IURNLED",0,2,0,2,0,2,0,0
"tRF-21-F0IV1NL3D",0,0,0,0,0,0,1,0
"tRF-21-F0QV7NLED",1,2,1,2,1,1,1,0
"tRF-21-F0S7RNLJD",0,0,0,0,1,0,0,0
"tRF-21-F380W6NKB",1,1,0,1,1,0,1,1
"tRF-21-F3BLHKFZB",0,0,0,0,1,0,0,0
"tRF-21-F3R3ZV1RE",0,0,1,0,0,0,0,0
"tRF-21-F4BDNZ8O0",0,0,0,0,0,0,2,0
"tRF-21-F4P2PSSED",0,0,0,0,0,0,1,0
"tRF-21-F538E7OMD",0,0,1,3,1,0,0,0
"tRF-21-F6RE987SB",0,0,0,1,0,0,1,0
"tRF-21-F8DHXY6R0",0,0,0,0,1,0,0,0
"tRF-21-F8DHXY6RB",5,2,2,3,5,3,7,2
"tRF-21-F8WO6V9EE",1,0,0,0,1,3,0,1
"tRF-21-F900BY4DE",1,0,1,0,0,0,1,0
"tRF-21-F91SS2P40",0,0,1,1,0,0,0,2
"tRF-21-F9LKXNYQB",54,73,187,116,33,50,129,149
"tRF-21-FBQ622EVE",2,3,0,12,0,2,5,1
"tRF-21-FEWS3V2V0",1,0,1,0,1,6,0,3
"tRF-21-FFR3VJ4ZE",0,0,0,1,0,0,0,0
"tRF-21-FI23W8WR0",0,0,0,1,0,0,0,0
"tRF-21-FI23W8WRB",0,0,0,1,0,0,0,0
"tRF-21-FJ33DSJOB",1,0,0,0,0,0,0,0
"tRF-21-FMF07V7ND",0,1,0,2,0,0,1,0
"tRF-21-FMF0QV7ND",0,0,0,0,1,1,0,2
"tRF-21-FN5KYUHRE",0,0,0,1,0,0,0,0
"tRF-21-FN5KYUSRE",0,3,0,1,0,0,0,0
"tRF-21-FO3S7SDR0",0,0,0,0,0,1,0,0
"tRF-21-FP18LPMB0",0,0,0,0,0,1,0,0
"tRF-21-FPZD3KYUE",0,0,0,0,0,1,3,0
"tRF-21-FR6LQ6S8E",0,0,0,0,0,0,1,0
"tRF-21-FR83DNPEB",0,0,0,1,0,0,0,0
"tRF-21-FSXMSL73E",169,47,24,73,54,104,63,44
"tRF-21-FU8U76D7D",0,2,0,0,0,0,0,0
"tRF-21-FU8U7S17D",0,1,0,0,0,1,0,1
"tRF-21-FV7SQWU1B",0,1,0,0,0,0,0,0
"tRF-21-FVI8E9UND",1,0,9,0,7,8,6,17
"tRF-21-FVLY7L73B",0,0,1,0,0,0,0,0
"tRF-21-FW6S18WO0",0,4,0,0,1,3,2,1
"tRF-21-FW6SF8WO0",2,0,0,1,1,0,1,0
"tRF-21-FWQ8P6U1D",0,4,0,0,0,3,0,0
"tRF-21-FX8Q9MYKD",1,0,0,0,0,0,0,0
"tRF-21-FYRE987SB",0,0,3,0,0,0,0,0
"tRF-21-FZ9KR959D",0,0,5,2,0,1,2,1
"tRF-21-FZB1KZI9E",0,0,0,0,0,0,1,0
"tRF-21-H2SBUL6JE",0,1,1,2,1,2,3,0
"tRF-21-H30WUI8OE",0,2,0,0,0,0,0,0
"tRF-21-H3RUSMKVD",0,0,0,0,0,0,0,1
"tRF-21-H3RXSINHD",1,1,0,0,0,0,0,0
"tRF-21-H3RXSINHE",1,0,1,1,11,1,1,0
"tRF-21-H57S362V0",0,0,1,0,0,1,0,2
"tRF-21-H5SYNX2VB",0,0,0,0,0,0,0,2
"tRF-21-H6I2JQSSD",0,0,0,0,0,0,0,1
"tRF-21-H6PE30YUB",0,0,0,0,0,0,1,0
"tRF-21-H6QE30YOB",3,3,1,12,12,7,6,6
"tRF-21-H6QE30YU0",0,0,0,1,0,0,0,2
"tRF-21-H6Z3NPPRB",0,0,0,2,1,1,4,3
"tRF-21-H7V3LY7SB",0,0,0,0,0,2,0,0
"tRF-21-HBVL3NBZD",0,0,0,0,0,0,3,0
"tRF-21-HDFX8Q9ME",0,0,0,0,0,0,1,3
"tRF-21-HE10NO0RD",0,0,0,1,0,0,0,0
"tRF-21-HENBRRX3E",0,2,0,0,0,0,0,0
"tRF-21-HEPURYX3E",2,2,0,0,0,2,0,0
"tRF-21-HJPN6IWOE",0,0,0,0,1,0,0,0
"tRF-21-HJX78OP3E",0,0,1,1,0,0,0,0
"tRF-21-HK9FM0DZE",1,0,0,2,0,0,0,0
"tRF-21-HMLWRNLDD",0,0,0,0,0,1,0,2
"tRF-21-HPDEWP7SB",0,0,2,1,0,0,1,0
"tRF-21-HPDEXP7SB",0,0,0,0,0,0,0,1
"tRF-21-HQ9M739PE",2,0,1,8,6,2,6,0
"tRF-21-HQP0IRJ9E",0,0,0,0,1,1,0,1
"tRF-21-HVRNLDKWD",0,0,0,0,0,1,0,0
"tRF-21-HXD3KY76B",0,0,0,0,0,0,1,0
"tRF-21-HXD3KY7SB",9,7,7,29,2,11,35,11
"tRF-21-HY13KK7XB",0,0,0,0,0,0,1,0
"tRF-21-I0PRRNLMD",0,0,0,0,0,1,1,0
"tRF-21-I0SRRNLMD",0,0,0,0,1,0,0,0
"tRF-21-I1539U7SB",1,0,1,0,2,0,0,0
"tRF-21-I26WRNLED",0,0,1,1,1,3,3,2
"tRF-21-I2UKJ6P9D",0,0,0,0,2,0,0,1
"tRF-21-I2UKM759D",0,0,0,0,2,2,0,0
"tRF-21-I2UKM7OZD",1,0,0,0,0,0,0,0
"tRF-21-I35FNYO9E",0,0,1,1,0,0,0,0
"tRF-21-I363U0EZE",0,0,0,1,0,0,4,0
"tRF-21-I6D3887SB",1,0,0,1,0,2,0,0
"tRF-21-I6D3987SB",0,0,0,0,0,3,0,0
"tRF-21-I71NLI38D",2,0,0,0,0,0,0,0
"tRF-21-I7JKIKYUE",0,0,0,0,0,0,1,0
"tRF-21-I7L7P5QKB",0,0,0,0,0,0,1,0
"tRF-21-I7XUK87SB",35,26,22,39,54,49,27,31
"tRF-21-I8W47W1R0",14,8,21,3,10,31,58,24
"tRF-21-I958M87SB",0,0,0,1,0,0,0,1
"tRF-21-IBB7Z92KB",0,0,1,0,0,0,0,0
"tRF-21-IED6VZ0OD",0,0,0,0,0,0,1,0
"tRF-21-IIZFMQ5JD",0,0,0,0,0,0,0,1
"tRF-21-IMLWRNLDD",2,0,6,5,32,40,3,9
"tRF-21-INVDRI2QD",271,133,78,200,143,57,254,62
"tRF-21-IPRVYJ9XB",0,0,0,0,0,0,1,0
"tRF-21-IR1NLI38D",1,2,0,0,0,0,0,0
"tRF-21-IRJ9ZH0S0",0,0,0,0,0,0,1,2
"tRF-21-IURNL3KZD",1,15,0,9,4,0,2,0
"tRF-21-IURNLEKZD",0,3,0,3,0,0,0,0
"tRF-21-IWQ7PHM80",0,0,1,2,0,0,2,3
"tRF-21-IWRNL3K5D",1,0,1,3,0,0,1,0
"tRF-21-IWRNL3KQD",4,12,0,7,2,1,2,0
"tRF-21-J09KZYJMD",4,3,4,0,1,2,3,4
"tRF-21-J0DPZOIPB",3,1,2,8,0,0,3,0
"tRF-21-J0K8UMPLB",0,0,0,1,0,0,1,0
"tRF-21-J0SU9ELBD",0,0,0,1,0,0,0,0
"tRF-21-J25R93WBE",0,0,0,1,0,0,0,2
"tRF-21-J25R93WDE",0,1,0,0,0,0,0,0
"tRF-21-J291547O0",0,0,0,0,0,0,1,0
"tRF-21-J4S2I7L7E",0,0,0,2,0,0,0,0
"tRF-21-J4S2QFXZD",1,0,0,0,0,0,0,0
"tRF-21-J4S2QFXZE",1,0,0,0,0,0,0,0
"tRF-21-J811IK78D",0,0,0,0,0,0,1,0
"tRF-21-J8RYQYB1B",0,2,2,1,0,0,1,0
"tRF-21-J8WPMN1EE",3,0,0,2,1,0,1,0
"tRF-21-J9ZH0SR90",129,76,114,166,250,318,103,250
"tRF-21-JB59V3WDE",0,0,2,1,1,1,0,0
"tRF-21-JB5Y13W0E",0,0,0,0,0,1,0,0
"tRF-21-JD22PZ20D",2,0,0,5,3,5,0,1
"tRF-21-JD80YYS9D",0,0,0,1,0,0,0,0
"tRF-21-JF09R9OMD",0,0,1,0,0,0,0,0
"tRF-21-JHOJ7IR1D",5,3,1,2,2,4,15,3
"tRF-21-JIZKRNLND",0,0,0,1,0,0,0,0
"tRF-21-JKIKYUY9B",1,0,8,0,0,0,5,1
"tRF-21-JL1Y2LNOE",0,0,0,0,0,0,1,0
"tRF-21-JMFKYOY7D",1,0,1,3,1,0,3,0
"tRF-21-JMR8FQRDE",0,0,0,0,0,0,0,1
"tRF-21-JMRPFQ5DD",45,30,3,10,22,14,55,8
"tRF-21-JMRPFQDDE",0,0,0,0,0,0,1,0
"tRF-21-JMRPFQJDE",31,16,6,96,9,12,18,17
"tRF-21-JMRPFQRDE",117,103,39,39,77,74,118,22
"tRF-21-JN5VF3R3E",3,0,1,0,1,0,3,0
"tRF-21-JN5XR4NPD",0,0,0,0,1,0,0,0
"tRF-21-JNRPFQJDE",0,2,0,1,0,0,0,0
"tRF-21-JOKP1M58B",1,0,0,0,0,1,0,0
"tRF-21-JOWU1M70E",10,6,6,1,7,25,6,10
"tRF-21-JPN1Y6FPE",0,0,0,0,0,0,0,1
"tRF-21-JUWLV47PE",0,1,0,0,0,0,0,0
"tRF-21-JYSWRYVMD",32,16,34,18,24,26,46,34
"tRF-21-JZL4Q4R90",3,2,1,2,0,3,6,1
"tRF-21-K0JNORRND",0,2,0,0,10,11,0,5
"tRF-21-K2821IQ4E",0,0,0,0,0,1,0,0
"tRF-21-K2RSI2WBB",0,0,0,1,0,0,0,0
"tRF-21-K34ZMKQ40",0,0,0,1,0,0,0,0
"tRF-21-K77343RX0",2,0,1,0,2,0,1,0
"tRF-21-K8HJ83ML0",0,0,0,1,2,2,0,0
"tRF-21-KHM26RRND",0,0,1,0,0,0,0,2
"tRF-21-KISBQONPD",1,3,2,10,5,2,6,1
"tRF-21-KK91M3WDE",0,2,0,0,0,0,0,0
"tRF-21-KKM1M3WDE",0,0,0,1,0,0,0,0
"tRF-21-KNNVORRND",1,0,2,1,4,6,1,7
"tRF-21-KQBRFKWE0",0,0,0,0,0,1,2,0
"tRF-21-KQWYL1M3E",4,4,1,6,0,0,3,0
"tRF-21-KS2P7SDRE",0,0,0,0,0,0,0,1
"tRF-21-KSLP7SBRE",0,2,0,1,0,1,4,0
"tRF-21-KSLP7SDRE",13,9,5,20,9,7,11,16
"tRF-21-KVPKYU070",0,0,1,0,1,1,0,0
"tRF-21-L1K847K1B",0,0,0,1,2,0,0,0
"tRF-21-L33VL8W1B",1,0,0,1,0,0,0,0
"tRF-21-L3489B3RB",2,5,0,0,0,0,1,0
"tRF-21-L3K8M0W1B",0,0,0,0,0,1,0,0
"tRF-21-L4KVH7K1B",0,0,0,1,0,0,0,0
"tRF-21-L4Q4R9OMD",0,0,0,0,0,1,0,0
"tRF-21-L7P5QK11D",0,0,0,1,0,0,0,0
"tRF-21-L7S5QKF10",0,0,1,0,0,0,0,0
"tRF-21-L85DMKYOE",0,0,0,1,0,0,0,0
"tRF-21-L85DMKYUE",1,2,0,2,2,7,2,4
"tRF-21-L8K87SIRD",1,2,0,1,0,2,2,0
"tRF-21-L981PV6R0",0,0,0,0,0,0,1,0
"tRF-21-LB30MB01B",0,0,1,0,0,0,0,0
"tRF-21-LB3KMB01B",2,7,1,2,1,6,5,1
"tRF-21-LBKM4Y41B",1,2,0,1,1,6,1,0
"tRF-21-LD3VWIQ1B",1,0,0,0,0,0,0,0
"tRF-21-LDKW343RB",0,1,0,1,0,0,0,0
"tRF-21-LDKWEKK1B",0,0,0,0,0,1,0,0
"tRF-21-LE2WMK81B",0,3,0,0,7,2,0,0
"tRF-21-LE308HP1B",0,0,0,0,1,1,1,1
"tRF-21-LE3JW261B",0,1,0,0,0,0,0,0
"tRF-21-LE3JWB61B",0,1,0,0,1,0,1,0
"tRF-21-LE3VLIE1B",1,5,0,0,0,2,1,1
"tRF-21-LE3WMIE1B",0,2,0,0,1,0,0,1
"tRF-21-LE48923RB",0,1,0,0,0,0,0,1
"tRF-21-LEK58Y01B",0,3,1,1,2,2,0,0
"tRF-21-LEK5LYK1B",2,2,0,0,1,0,1,1
"tRF-21-LEK5YY01B",1,2,0,1,1,1,0,0
"tRF-21-LEKPM43RB",2,5,0,1,0,2,1,1
"tRF-21-LEKPMK3RB",0,0,0,0,0,1,0,0
"tRF-21-LEKPV03RB",0,1,0,0,0,0,0,0
"tRF-21-LEKQ3SW1B",1,2,5,3,1,0,2,2
"tRF-21-LI38NJW1B",3,22,0,4,6,6,0,3
"tRF-21-LIK898O1B",1,4,1,10,2,0,3,2
"tRF-21-LIK8V8O1B",0,0,0,2,0,0,0,0
"tRF-21-LIKP9K3RB",0,0,0,0,0,1,0,0
"tRF-21-LJKP9BK1B",1,7,0,2,2,0,0,0
"tRF-21-LJR7DJQV0",0,0,0,0,0,0,0,1
"tRF-21-LM3KMB01B",0,1,0,0,0,0,0,0
"tRF-21-LM3KZSP1B",2,0,3,0,0,2,0,0
"tRF-21-LMK8J7K1B",7,34,3,4,3,10,16,2
"tRF-21-LMKPJ7K1B",0,1,0,1,0,0,0,0
"tRF-21-LMKWEKK1B",0,1,0,0,0,0,0,0
"tRF-21-LML38BWS0",2,0,0,0,1,0,0,0
"tRF-21-LN39NZZ1B",0,1,1,0,0,0,0,0
"tRF-21-LN3JWB61B",2,5,2,2,0,4,1,4
"tRF-21-LN4Q1RV1B",0,2,0,2,0,0,0,0
"tRF-21-LNK8KDP1B",0,1,2,9,4,2,2,1
"tRF-21-LNK8KEP1B",3,1,1,0,0,0,0,0
"tRF-21-LNK8QJP1B",0,3,0,0,0,1,0,0
"tRF-21-LPD3387SB",1,1,0,0,0,0,0,0
"tRF-21-LPMBQ4NKD",13,6,2,12,7,6,9,3
"tRF-21-LQ9DYXI6B",1,0,0,1,0,0,1,0
"tRF-21-LQBDYBEZB",0,0,1,0,0,0,0,0
"tRF-21-LR6LQ6S8E",0,0,0,1,0,0,1,0
"tRF-21-LSM1M3WEE",2,1,3,0,1,4,3,1
"tRF-21-LSN3S3RQD",1,1,0,1,0,0,5,1
"tRF-21-LUD3KS7SB",0,0,0,0,0,1,0,0
"tRF-21-LWRNLEKQD",0,0,1,0,0,0,0,0
"tRF-21-LY7L73HQ0",1,0,0,1,0,0,3,0
"tRF-21-LZ93Q01MD",1,0,0,0,0,0,0,0
"tRF-21-LZM3701MD",0,0,0,1,0,0,0,0
"tRF-21-LZM3Q01MD",0,1,0,1,0,0,2,0
"tRF-21-M0IBB7Z9D",0,0,0,1,0,0,0,0
"tRF-21-M0NK5Y93E",0,0,0,1,0,0,1,0
"tRF-21-M1M3WD8S0",0,0,0,0,1,0,0,0
"tRF-21-M1M3WE8S0",0,2,0,0,0,0,0,0
"tRF-21-M38B8SOU0",0,0,1,0,0,0,0,0
"tRF-21-M3WBKS8W0",0,0,0,0,0,0,0,1
"tRF-21-M3WD8S740",2,1,1,0,0,0,3,0
"tRF-21-M3WE8SSP0",0,0,0,0,0,1,0,0
"tRF-21-M3WEKSU80",1,0,0,1,1,0,0,0
"tRF-21-M8ZLSSXU0",9,2,6,6,5,6,6,6
"tRF-21-MBQ4NKKQB",6,2,3,6,1,12,7,5
"tRF-21-MEF91SS20",4,1,1,0,5,2,3,5
"tRF-21-MEJB5Y13E",0,0,0,2,0,0,1,0
"tRF-21-MI7O3B1N0",0,0,0,0,0,1,0,0
"tRF-21-MIF91SS20",0,0,0,0,1,0,1,0
"tRF-21-MKQ4R9OMD",0,1,0,0,0,1,1,0
"tRF-21-MKYUYRLH0",0,0,0,0,0,0,1,0
"tRF-21-ML5F82NZB",0,1,0,1,0,0,0,1
"tRF-21-MMUKLYM9B",0,0,2,0,0,2,1,0
"tRF-21-MN1E8Y7ZD",66,52,17,25,19,4,87,11
"tRF-21-MN93301MD",0,0,0,0,0,0,1,0
"tRF-21-MNF91SQPB",0,0,0,0,0,0,1,0
"tRF-21-MNFV7SQWE",0,0,0,0,0,2,0,0
"tRF-21-MNH5SYNXD",17,7,4,4,6,11,8,3
"tRF-21-MNLB3KMBB",3,0,0,0,0,0,0,1
"tRF-21-MNLE308H0",0,0,1,0,0,1,1,0
"tRF-21-MO0UFMQKE",0,0,0,2,1,0,1,0
"tRF-21-MPW4PU73E",8,22,4,4,14,19,6,15
"tRF-21-MV9JKL060",1,3,0,0,0,0,0,0
"tRF-21-N0RR1380E",0,0,0,0,0,1,0,0
"tRF-21-N1EH6KK80",0,0,0,1,0,2,0,1
"tRF-21-N343RX6NE",0,0,1,0,0,0,1,0
"tRF-21-N3S3RQJVB",2,2,0,1,3,0,3,4
"tRF-21-N3WE884UB",0,0,0,0,0,0,0,1
"tRF-21-N3WE8P4UB",0,0,0,0,0,1,0,0
"tRF-21-N3WEK8790",0,0,0,0,0,0,2,0
"tRF-21-N5ORNQY1D",0,0,0,0,0,0,2,0
"tRF-21-N90VL8K80",1,0,0,0,0,0,0,0
"tRF-21-NB8PLML3E",3,6,1,4,3,4,3,2
"tRF-21-NBDWY2MJE",0,0,0,3,0,1,2,0
"tRF-21-NBRRX3WBD",0,0,0,1,0,1,0,0
"tRF-21-NBRSX3WED",0,0,0,1,0,0,0,0
"tRF-21-NDBP1IUUD",15,9,5,5,15,0,24,4
"tRF-21-NFLWRNLED",1,0,0,0,0,0,0,0
"tRF-21-NLDIBZFQE",0,2,0,1,0,0,0,0
"tRF-21-NMEH623K0",2,0,1,0,0,0,2,2
"tRF-21-NO0RNQYXD",0,0,0,0,0,0,2,0
"tRF-21-NONU3INDD",265,88,144,113,240,92,624,114
"tRF-21-NQDVLKZ4B",0,0,0,0,0,0,1,0
"tRF-21-NRDF7UK80",0,0,1,2,0,0,2,0
"tRF-21-NS56O2Z00",0,0,1,1,0,0,0,0
"tRF-21-NS56O2ZF0",0,0,0,0,0,0,0,1
"tRF-21-NSRJ7KYUB",0,0,1,0,1,2,0,0
"tRF-21-NVORRNLND",0,0,0,1,0,1,0,0
"tRF-21-NWB162XBB",0,0,0,0,0,1,0,0
"tRF-21-NYDRFU8U0",1,1,0,0,0,0,1,0
"tRF-21-NYRKYUY7E",0,1,0,0,0,0,0,0
